42 ns: U U UUUU UUUU UUUU
6804 ns: 1 0 1111 0000 0000
6846 ns: 1 0 1111 0000 0000
6888 ns: 1 0 1111 0000 0000
6930 ns: 1 0 1111 0000 0000
6972 ns: 1 0 1111 0000 0000
7014 ns: 1 0 1111 0000 0000
7056 ns: 1 0 1111 0000 0000
7098 ns: 1 0 1111 0000 0000
7140 ns: 1 0 1111 0000 0000
7182 ns: 1 0 1111 0000 0000
7224 ns: 1 0 1111 0000 0000
7266 ns: 1 0 1111 0000 0000
7308 ns: 1 0 1111 0000 0000
7350 ns: 1 0 1111 0000 0000
7392 ns: 1 0 1111 0000 0000
7434 ns: 1 0 1111 0000 0000
7476 ns: 1 0 1111 0000 0000
7518 ns: 1 0 1111 0000 0000
7560 ns: 1 0 1111 0000 0000
7602 ns: 1 0 1111 0000 0000
7644 ns: 1 0 1111 0000 0000
7686 ns: 1 0 1111 0000 0000
7728 ns: 1 0 1111 0000 0000
7770 ns: 1 0 1111 0000 0000
7812 ns: 1 0 1111 0000 0000
7854 ns: 1 0 1111 0000 0000
7896 ns: 1 0 1111 0000 0000
7938 ns: 1 0 1111 0000 0000
7980 ns: 1 0 1111 0000 0000
8022 ns: 1 0 1111 0000 0000
8064 ns: 1 0 1111 0000 0000
8106 ns: 1 0 1111 0000 0000
8148 ns: 1 0 1111 0000 0000
8190 ns: 1 0 1111 0000 0000
8232 ns: 1 0 1111 0000 0000
8274 ns: 1 0 1111 0000 0000
8316 ns: 1 0 1111 0000 0000
8358 ns: 1 0 1111 0000 0000
8400 ns: 1 0 1111 0000 0000
8442 ns: 1 0 1111 0000 0000
8484 ns: 1 0 1111 0000 0000
8526 ns: 1 0 1111 0000 0000
8568 ns: 1 0 1111 0000 0000
8610 ns: 1 0 1111 0000 0000
8652 ns: 1 0 1111 0000 0000
8694 ns: 1 0 1111 0000 0000
8736 ns: 1 0 1111 0000 0000
8778 ns: 1 0 1111 0000 0000
8820 ns: 1 0 1111 0000 0000
8862 ns: 1 0 1111 0000 0000
8904 ns: 1 0 1111 0000 0000
8946 ns: 1 0 1111 0000 0000
8988 ns: 1 0 1111 0000 0000
9030 ns: 1 0 1111 0000 0000
9072 ns: 1 0 1111 0000 0000
9114 ns: 1 0 1111 0000 0000
9156 ns: 1 0 1111 0000 0000
9198 ns: 1 0 1111 0000 0000
9240 ns: 1 0 1111 0000 0000
9282 ns: 1 0 1111 0000 0000
9324 ns: 1 0 1111 0000 0000
9366 ns: 1 0 1111 0000 0000
9408 ns: 1 0 1111 0000 0000
9450 ns: 1 0 1111 0000 0000
9492 ns: 1 0 1111 0000 0000
9534 ns: 1 0 1111 0000 0000
9576 ns: 1 0 1111 0000 0000
9618 ns: 1 0 1111 0000 0000
9660 ns: 1 0 1111 0000 0000
9702 ns: 1 0 1111 0000 0000
9744 ns: 1 0 1111 0000 0000
9786 ns: 1 0 1111 0000 0000
9828 ns: 1 0 1111 0000 0000
9870 ns: 1 0 1111 0000 0000
9912 ns: 1 0 1111 0000 0000
9954 ns: 1 0 1111 0000 0000
9996 ns: 1 0 1111 0000 0000
10038 ns: 1 0 1111 0000 0000
10080 ns: 1 0 1111 0000 0000
10122 ns: 1 0 1111 0000 0000
10164 ns: 1 0 1111 0000 0000
10206 ns: 1 0 1111 0000 0000
10248 ns: 1 0 1111 0000 0000
10290 ns: 1 0 1111 0000 0000
10332 ns: 1 0 1111 0000 0000
10374 ns: 1 0 1111 0000 0000
10416 ns: 1 0 1111 0000 0000
10458 ns: 1 0 1111 0000 0000
10500 ns: 1 0 1111 0000 0000
10542 ns: 1 0 1111 0000 0000
10584 ns: 1 0 1111 0000 0000
10626 ns: 1 0 1111 0000 0000
10668 ns: 1 0 1111 0000 0000
10710 ns: 1 0 1111 0000 0000
10752 ns: 1 0 1111 0000 0000
10794 ns: 1 0 1111 0000 0000
10836 ns: 1 0 1111 0000 0000
10878 ns: 1 0 1111 0000 0000
10920 ns: 1 0 1111 0000 0000
10962 ns: 1 0 1111 0000 0000
11004 ns: 1 0 1111 0000 0000
11046 ns: 1 0 1111 0000 0000
11088 ns: 1 0 1111 0000 0000
11130 ns: 1 0 1111 0000 0000
11172 ns: 1 0 1111 0000 0000
11214 ns: 1 0 1111 0000 0000
11256 ns: 1 0 1111 0000 0000
11298 ns: 1 0 1111 0000 0000
11340 ns: 1 0 1111 0000 0000
11382 ns: 1 0 1111 0000 0000
11424 ns: 1 0 1111 0000 0000
11466 ns: 1 0 1111 0000 0000
11508 ns: 1 0 1111 0000 0000
11550 ns: 1 0 1111 0000 0000
11592 ns: 1 0 1111 0000 0000
11634 ns: 1 0 1111 0000 0000
11676 ns: 1 0 1111 0000 0000
11718 ns: 1 0 1111 0000 0000
11760 ns: 1 0 1111 0000 0000
11802 ns: 1 0 1111 0000 0000
11844 ns: 1 0 1111 0000 0000
11886 ns: 1 0 1111 0000 0000
11928 ns: 1 0 1111 0000 0000
11970 ns: 1 0 1111 0000 0000
12012 ns: 1 0 1111 0000 0000
12054 ns: 1 0 1111 0000 0000
12096 ns: 1 0 1111 0000 0000
12138 ns: 1 0 1111 0000 0000
12180 ns: 1 0 1111 0000 0000
12222 ns: 1 0 1111 0000 0000
12264 ns: 1 0 1111 0000 0000
12306 ns: 1 0 1111 0000 0000
12348 ns: 1 0 1111 0000 0000
12390 ns: 1 0 1111 0000 0000
12432 ns: 1 0 1111 0000 0000
12474 ns: 1 0 1111 0000 0000
12516 ns: 1 0 1111 0000 0000
12558 ns: 1 0 1111 0000 0000
12600 ns: 1 0 1111 0000 0000
12642 ns: 1 0 1111 0000 0000
12684 ns: 1 0 1111 0000 0000
